lga,elevation_above_sea_level,Australian_Statistical_Geography_2016_ID,lgaLabel
http://www.wikidata.org/entity/Q17058309,3,SSC13986,Tweed Heads West
http://www.wikidata.org/entity/Q21900827,3,SSC32874,Toogoom
http://www.wikidata.org/entity/Q21904919,3,SSC13323,Rawdon Island
http://www.wikidata.org/entity/Q21910946,3,SSC11509,Fernmount
http://www.wikidata.org/entity/Q21913185,3,SSC11098,Cowper
http://www.wikidata.org/entity/Q21916417,3,SSC10994,Comerong Island
http://www.wikidata.org/entity/Q21917948,3,SSC10325,Berry Park
http://www.wikidata.org/entity/Q21924205,3,SSC13006,North Shore
http://www.wikidata.org/entity/Q21942207,3,SSC12597,Micalo Island
http://www.wikidata.org/entity/Q21942332,3,SSC11562,Freeburn Island
http://www.wikidata.org/entity/Q1919098,4,LGA24600,City of Melbourne
http://www.wikidata.org/entity/Q3053259,4,SSC11416,Empire Vale
http://www.wikidata.org/entity/Q3095431,4,SSC50527,Garden Island
http://www.wikidata.org/entity/Q3306491,4,SSC12575,Merimbula
http://www.wikidata.org/entity/Q3894578,4,SSC31370,Hope Island
http://www.wikidata.org/entity/Q3938189,4,SSC41251,Robe
http://www.wikidata.org/entity/Q180093,4,SSC40851,Meningie
http://www.wikidata.org/entity/Q384798,4,SSC50337,Coral Bay
http://www.wikidata.org/entity/Q642631,4,UCL512002,Busselton
http://www.wikidata.org/entity/Q673919,4,SSC60318,Lauderdale
http://www.wikidata.org/entity/Q820280,4,LGA15050,City of Maitland
http://www.wikidata.org/entity/Q891017,4,SSC30303,Boigu Island
http://www.wikidata.org/entity/Q922230,4,SSC41335,Smoky Bay
http://www.wikidata.org/entity/Q983824,4,SSC40516,Goolwa
http://www.wikidata.org/entity/Q1021880,4,SSC50266,Carnarvon
http://www.wikidata.org/entity/Q1430843,4,LGA16650,City of Rockdale
http://www.wikidata.org/entity/Q1488729,4,SSC12734,Moruya
http://www.wikidata.org/entity/Q1660264,4,LGA57490,City of Rockingham
http://www.wikidata.org/entity/Q21896036,4,SSC50577,Green Head
http://www.wikidata.org/entity/Q21902281,4,SSC32549,Scarness
http://www.wikidata.org/entity/Q21942247,4,SSC10096,Ashby Island
http://www.wikidata.org/entity/Q4857032,4,SSC10185,Banora Point
http://www.wikidata.org/entity/Q4891969,4,SSC10303,Berkeley
http://www.wikidata.org/entity/Q4985049,4,SSC10642,Budgewoi
http://www.wikidata.org/entity/Q5046427,4,SSC10830,Carrington
http://www.wikidata.org/entity/Q5055079,4,SSC50276,Caversham
http://www.wikidata.org/entity/Q5102443,4,SSC10912,Chittaway Point
http://www.wikidata.org/entity/Q5166802,4,SSC40294,Coobowie
http://www.wikidata.org/entity/Q5242027,4,SSC11221,Davistown
